sky-rocket          	    1
dead                	    4
instantly           	    5
sense               	    3
moving              	    3
barrowful           	    2
doubt               	    4
shower              	    2
pebbles             	    2
rattling            	    2
hit                 	    2
shouted             	    9
produced            	    1
surprise            	    5
cakes               	    3
lay                 	    4
swallowed           	    1
delighted           	    2
crowd               	    4
lizard              	    6
held                	    4
guinea-pigs         	    4
giving              	    2
rush                	    2
appeared            	    8
safe                	    2
thick               	    1
wood                	    8
wandered            	    2
plan                	    4
excellent           	    2
arranged            	    1
difficulty          	    4
smallest            	    2
peering             	    1
trees               	    7
bark                	    2
enormous            	    1
puppy               	    7
feebly              	    1
stretching          	    2
paw                 	    3
touch               	    1
coaxing             	    2
whistle             	    1
terribly            	    1
hungry              	    3
spite               	    1
picked              	    3
stick               	    4
whereupon           	    1
yelp                	    1
rushed              	    1
worry               	    1
dodged              	    1
thistle             	    2
keep                	   11
tumbled             	    1
heels               	    1
cart-horse          	    1
trampled            	    1
series              	    1
charges             	    1
forwards            	    1
each                	    8
barking             	    1
hoarsely            	    1
mouth               	   10
faint               	    1
leant               	    1
buttercup           	    1
fanned              	    1
teaching            	    1
tricks              	    1
blades              	    1
grass               	    4
circumstances       	    1
mushroom            	    8
height              	    5
stretched           	    2
tiptoe              	    2
edge                	    3
immediately         	    3
caterpillar         	   28
arms                	    6
folded              	    3
quietly             	    5
smoking             	    2
hookah              	    5
v                   	    1
addressed           	    2
languid             	    1
encouraging         	    2
shyly               	    1
present             	    3
sternly             	    1
clearly             	    1
sizes               	    1
confusing           	    3
turn                	   10
chrysalis           	    1
butterfly           	    1
may                 	   14
contemptuously      	    2
brought             	    3
irritated           	    1
remarks             	    3
state               	    1
promising           	    1
swallowing          	    1
anger               	    2
wait                	    1
puffed              	    1
unfolded            	    2
busy                	    2
bee                 	    1
father              	    6
man                 	    5
incessantly         	    1
stand               	    6
youth               	    6
son                 	    1
feared              	    1
injure              	    1
brain               	    1
perfectly           	    4
none                	    4
most                	    8
uncommonly          	    1
fat                 	    1
back-somersault     	    1
pray                	    3
sage                	    1
grey                	    1
limbs               	    1
supple              	    1
ointment            	    1
shilling            	    1
sell                	    2
couple              	    1
weak                	    2
tougher             	    1
suet                	    1
bones               	    1
beak                	    1
argued              	    1
wife                	    1
muscular            	    1
strength            	    1
jaw                 	    1
lasted              	    2
steady              	    1
balanced            	    1
eel                 	    1
nose                	    8
awfully             	    1
clever              	    2
questions           	    4
airs                	    1
stuff               	    4
timidly             	    9
altered             	    1
decidedly           	    4
changing            	    2
often               	    5
contradicted        	    1
losing              	    1
content             	    1
wretched            	    2
rearing             	    1
upright             	    1
piteous             	    1
patiently           	    2
chose               	    2
yawned              	    2
crawled             	    1
merely              	    2
taller              	    2
shorter             	    2
thoughtfully        	    4
difficult           	    2
broke               	    2
nibbled             	    2
right-hand          	    1
violent             	    2
blow                	    2
underneath          	    1
closely             	    1
swallow             	    1
morsel              	    1
lefthand            	    2
free                	    3
alarm               	    2
immense             	    1
length              	    1
rise                	    1
stalk               	    1
green               	    4
result              	    1
follow              	    2
shaking             	    3
distant             	    2
serpent             	    9
succeeded           	    3
curving             	    1
graceful            	    1
zigzag              	    1
dive                	    1
tops                	    1
wandering           	    2
hiss                	    1
draw                	    7
pigeon              	   12
flown               	    1
beating             	    2
wings               	    1
screamed            	    4
indignantly         	    4
repeated            	   10
subdued             	    1
sob                 	    1
roots               	    1
banks               	    1
hedges              	    1
serpents            	    3
pleasing            	    1
puzzled             	    9
hatching            	    1
eggs                	    5
look-out            	    1
sleep               	    6
weeks               	    1
sorry               	    1
annoyed             	    1
taken               	    4
highest             	    1
tree                	    5
raising             	    1
needs               	    1
wriggling           	    1
sky                 	    4
invent              	    1
doubtfully          	    2
changes             	    2
deepest             	    1
contempt            	    1
girls               	    3
denying             	    1
telling             	    2
tasted              	    3
egg                 	    1
truthful            	    1
silent              	    7
adding              	    1
matters             	    2
yours               	    3
raw                 	    1
settled             	    3
nest                	    1
crouched            	    1
entangled           	    2
branches            	    2
untwist             	    1
pieces              	    3
nibbling            	    3
bringing            	    3
beautiful           	   13
whoever             	    1
lives               	    4
frighten            	    1
wits                	    1
righthand           	    1
vi                  	    1
pig                 	    8
pepper              	    7
footman             	   11
livery              	    3
considered          	    3
otherwise           	    4
judging             	    1
fish                	    4
rapped              	    1
loudly              	    3
knuckles            	    1
footmen             	    1
powdered            	    1
crept               	    1
fish-footman        	    2
producing           	    1
letter              	    3
invitation          	    2
queen               	   75
frog-footman        	    1
order               	    3
curls               	    1
laughed             	    2
ground              	    5
staring             	    3
stupidly            	    1
knocked             	    1
reasons             	    1
secondly            	    2
inside              	    2
extraordinary       	    2
within              	    2
constant            	    2
howling             	    3
sneezing            	    6
dish                	    4
kettle              	    1
between             	    6
instance            	    3
knock               	    1
uncivil             	    1
remarked            	   10
tomorrow            	    1
skimming            	    1
grazed              	    1
maybe               	    2
louder              	    1
told                	    6
dreadful            	    2
muttered            	    2
argue               	    1
drive               	    2
crazy               	    1
repeating           	    3
remark              	   10
variations          	    1
days                	    4
whistling           	    1
desperately         	    1
idiotic             	    1
kitchen             	    4
smoke               	    1
stool               	    1
nursing             	    3
baby                	   13
cook                	   13
leaning             	    2
stirring            	    2
cauldron            	    2
soup                	   18
sneezed             	    1
occasionally        	    1
alternately         	    1
pause               	    2
sneeze              	    2
hearth              	    1
grinning            	    1
ear                 	    6
manners             	    1
grins               	    1
cheshire            	    7
violence            	    1
courage             	    3
